CustomerID,TotalCustomerSales,SalesRank
29818,989184.0819999999,1
29715,961675.8596,2
29722,954021.9235,3
30117,919801.8188,4
29614,901346.856,5
29639,887090.4106,6
29701,841866.5522,7
29617,834475.9271,8
29994,824331.7681999999,9
29646,820383.5466,10
29580,815914.2534,11
29827,801766.21,12
29497,789884.2937,13
29716,781073.7175,14
29913,757449.6804000001,15
30103,725867.1659,16
29957,718258.8109,17
29523,696703.605,18
29616,695242.2258,19
30048,678828.8377,20
29562,665292.3809999999,21
29772,660645.9404,22
29712,653973.7646,23
30107,650362.0535,24
29924,644168.1552,25
30050,631355.0743,26
29641,606819.6087,27
29966,605358.542,28
29997,604794.7839,29
29689,600077.2722,30
29486,584949.1308,31
29522,554388.9371,32
29705,543440.5911,33
30112,538333.4655,34
29546,534117.5619,35
30000,533078.2844,36
30074,516254.7953,37
29919,514317.52520000003,38
29507,502367.0397,39
29770,500181.7264,40
29559,499815.3125,41
29923,493816.8809,42
29624,486937.59369999997,43
29992,483162.6054,44
29901,481860.9122,45
29834,481357.9195,46
29825,475892.0433,47
30046,471689.9206,48
29690,470639.545,49
29707,469525.749,50
29734,469357.2899,51
29703,465429.5734,52
30049,461467.3178,53
29861,460174.8591,54
29844,452727.9318,55
29744,449330.81590000005,56
29950,449023.1024,57
29702,447403.49069999997,58
29888,445392.9589,59
29724,444336.9798,60
29940,443136.58540000004,61
29651,442256.8765,62
30067,442054.0945,63
29885,435986.1289,64
29714,432800.33520000003,65
29489,428350.5326,66
29955,421079.05799999996,67
29938,420767.7112,68
29637,407563.0075,69
29594,402874.3907,70
29987,402574.8569,71
29647,402240.7953,72
29998,399980.8799,73
29587,399672.8579,74
29929,393520.7995,75
29629,389437.6577,76
30094,381763.5549,77
29995,381607.9961,78
30109,378936.08869999996,79
29704,377088.6246,80
29692,366009.6535,81
29736,363872.0389,82
30043,360816.5491,83
29895,358195.771,84
29560,356524.0763,85
29853,350717.9904,86
29618,348640.9465,87
29783,348070.0746,88
29615,340396.32420000003,89
29904,340132.12679999997,90
29509,337311.2711,91
29792,331823.8605,92
29956,331231.2975,93
29896,330853.4536,94
29658,329150.8419,95
29910,329064.43299999996,96
29698,326883.5513,97
29515,326175.9828,98
30065,325324.054,99
29889,323176.2786,100
29996,322801.3294,101
29543,321014.9284,102
29564,320894.20499999996,103
29579,320244.2906,104
29796,318625.6048,105
29732,313985.4367,106
30118,313671.5352,107
29789,313549.3888,108
30111,311393.1457,109
30055,309440.2794,110
30113,307946.0796,111
29693,307800.8569,112
29601,302983.1192,113
29935,302690.5743,114
29793,302119.1881,115
30076,302061.1054,116
29525,298046.6089,117
29649,295434.8253,118
29836,291627.3902,119
29909,285873.6939,120
29822,281909.8552,121
29627,281414.838,122
30075,280716.3647,123
29891,279722.76639999996,124
29605,279225.9956,125
29710,277612.9119,126
29916,270690.6142,127
29499,264645.3146,128
29622,262408.3464,129
30095,257252.7645,130
29963,251643.95750000002,131
29488,249804.8673,132
29917,249384.5213,133
29947,248869.8958,134
29550,244854.0475,135
29843,243845.1788,136
30070,241374.5037,137
29549,238924.2599,138
29695,236341.6203,139
29786,236210.9015,140
29643,230789.189,141
29932,228053.1314,142
30083,225213.74599999998,143
29589,223583.8648,144
29557,222988.2625,145
29608,221704.253,146
29513,219040.5091,147
29880,218031.225,148
29921,217615.377,149
30116,211671.2674,150
29609,210334.4128,151
29738,210100.7797,152
29563,208806.1592,153
29521,208054.1284,154
29660,206276.9149,155
